,0
392,TNPO1
393,ARID1A
394,MX2
395,CCDC59
396,USP18
397,RPL4
398,CD59
399,STT3A
400,ITGA4
401,ZNF37A
402,IFI27L2
403,MYL12B
404,RNASEH2C
405,ACOT13
406,C1orf68
407,ITFG2
408,ND4
409,RBM25
410,HTATSF1
411,DOCK5
412,BUD31
413,EIF2S2
414,STAT5B
415,CDK11A///CDK11B
416,DCUN1D1
417,FAM83C
418,PDAP1
419,COMMD4
420,PIM3
421,ELK4
422,RAB13
423,TBL1XR1
424,OSBP
425,CRCP
426,SLC25A19
427,MRFAP1
428,ZMYM2
429,MRPS18A
430,USF1
431,COPA
432,ISY1
433,ID2
434,NHLRC3
435,USP13
436,SMC1A
437,LBHD1
438,CXorf40B
439,HACD1
440,PRKAR2A
441,SPTBN1
442,GIT2
443,NAT16
444,ATOX1
445,BTF3
446,CLIC1
447,TAF4
448,ROCK1
449,SPATA2L
450,MBNL1
451,RBL2
452,C1orf131
453,LOC107984534
454,SWAP70
455,CFLAR
456,PRMT1
457,BATF
458,SNAPIN
459,TET2
460,PSMD7
461,ZNF431
462,CCDC85B
463,TIA1
464,MB21D1
465,ARHGAP23
466,TMED2
467,LOC100507281
468,LINC00537
469,EPB41
470,GPT
471,BCOR
472,DTX2P1-UPK3BP1-PMS2P11
473,MLLT10
474,RHBG
475,PPP4R1L
476,TRPM7
477,NUPL2
478,SMARCA2
479,SCAMP1
480,LOC101926887///LIPA
481,LGALS9
482,CALN1
483,STX10
484,EEF1D
485,TRMT10B
486,ANP32E
487,PRPF38A
488,ME2
489,CEP350
490,HBA2///HBA1
491,CASP8AP2
492,AMFR
493,OTOP2
494,APOL6
495,GALE
496,CLIP1
497,DVL3
498,IDH3A
499,AQR
500,CCNI
501,CCRL2
502,LOC100289246
503,LOC100289610
504,TMEM165
505,MAN1B1-AS1
506,IFI16
507,ABHD16A
508,MS4A4A
509,CD4
510,PCBP1
511,RAB24
512,RAD17
513,APC
514,ZNF264
515,MCL1
516,NUP205
517,NUS1
518,LGALS8
519,ADCY3
520,TMEM230
521,RAB7A
522,XRN2
523,SLC25A27
524,ATRX
525,SLC1A4
526,IGLV4-3
527,SFN
528,ARID2
529,LPCAT4
530,PAPPA
531,SFPQ
532,H3F3B
533,RAPGEF6
534,VAMP1
535,DDX3X
536,HNRNPF
537,ERP44
538,LOC440983
539,TSPEAR-AS2
540,C10orf12
541,AKT2
542,ACOT9
543,CD44
544,SAR1A
545,CEACAM1
546,ZCCHC11
547,SAA2///SAA1
548,ARMCX1
549,LYAR
550,VPS33A
551,MT2A
552,MPC2
553,FAM26F
554,BAGE2///BAGE3///BAGE5///KMT2C
555,POU2F2
556,PDXK
557,CINP
558,SEC31A
559,C4orf3
560,CD6
561,MPDU1
562,TLN1
563,CLINT1
564,ZMYM4
565,MED1
566,LIMK2
567,LYST
568,RPL29
569,STK35
570,EGR1
571,LINC00487
572,EZH1
573,PARP10
574,CCNG2
575,TUG1
576,PSME4
577,LOC101927451
578,PARP1
579,MBD4
580,ARHGAP10
581,CD164
582,TRIM22
583,PRPF6
584,SLF2
585,SRM
586,MED30
587,YIPF1
588,CSDE1
589,RPL36A
